PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON
Thaddeus Young,PF,27,BRK,73,73,33.0,6.8,13.2,.514,0.1,0.4,.233,6.7,12.8,.523,.518,1.4,2.2,.644,2.4,6.6,9.0,1.9,1.5,0.5,1.9,2.5,15.1,2015-16
Avery Bradley,SG,25,BOS,76,72,33.4,6.0,13.4,.447,1.9,5.4,.361,4.1,8.1,.505,.520,1.3,1.6,.780,0.6,2.3,2.9,2.1,1.5,0.3,1.4,2.2,15.2,2015-16
Coty Clarke,SF,23,BOS,3,0,2.0,0.7,1.3,.500,0.7,0.7,1.000,0.0,0.7,.000,.750,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,2.0,2015-16
Jae Crowder,SF,25,BOS,73,73,31.6,4.9,11.1,.443,1.7,5.0,.336,3.3,6.2,.529,.518,2.7,3.3,.820,1.0,4.2,5.1,1.8,1.7,0.5,1.1,2.7,14.2,2015-16
R.J. Hunter,SG,22,BOS,36,0,8.8,1.0,2.7,.367,0.5,1.8,.302,0.5,1.0,.486,.464,0.2,0.2,.857,0.1,1.0,1.0,0.4,0.4,0.1,0.3,0.8,2.7,2015-16
Jonas Jerebko,PF,28,BOS,78,0,15.1,1.5,3.7,.413,0.6,1.4,.398,1.0,2.3,.421,.488,0.8,1.0,.782,1.0,2.7,3.7,0.8,0.3,0.3,0.7,1.8,4.4,2015-16
Amir Johnson,PF,28,BOS,79,76,22.8,3.2,5.4,.585,0.1,0.5,.233,3.0,4.8,.624,.596,0.9,1.5,.570,2.3,4.1,6.4,1.7,0.7,1.1,1.2,2.7,7.3,2015-16
Jordan Mickey,PF,21,BOS,16,0,3.6,0.5,1.4,.364,0.0,0.0,,0.5,1.4,.364,.364,0.3,0.6,.500,0.4,0.4,0.8,0.1,0.0,0.7,0.1,0.3,1.3,2015-16
Kelly Olynyk,C,24,BOS,69,8,20.2,3.7,8.1,.455,1.2,3.0,.405,2.4,5.0,.486,.531,1.4,1.9,.750,1.0,3.0,4.1,1.5,0.8,0.5,1.1,2.4,10.0,2015-16
Terry Rozier,PG,21,BOS,39,0,8.0,0.7,2.7,.274,0.2,0.7,.222,0.6,2.0,.291,.302,0.2,0.3,.800,0.6,1.0,1.6,0.9,0.2,0.0,0.5,0.6,1.8,2015-16
Marcus Smart,PG,21,BOS,61,10,27.3,3.0,8.7,.348,1.0,4.0,.253,2.0,4.7,.427,.405,2.1,2.7,.777,1.2,2.9,4.2,3.0,1.5,0.3,1.3,3.0,9.1,2015-16
Jared Sullinger,PF,23,BOS,81,73,23.6,4.3,10.0,.435,0.4,1.3,.282,4.0,8.7,.458,.453,1.3,2.0,.640,2.4,5.9,8.3,2.3,0.9,0.6,1.3,2.6,10.3,2015-16
Isaiah Thomas,PG,26,BOS,82,79,32.2,7.2,16.9,.428,2.0,5.7,.359,5.2,11.2,.462,.488,5.8,6.6,.871,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0,22.2,2015-16
Evan Turner,SG,27,BOS,81,12,28.0,4.2,9.3,.456,0.2,1.0,.241,4.0,8.3,.482,.469,1.8,2.2,.827,0.6,4.3,4.9,4.4,1.0,0.3,2.1,1.7,10.5,2015-16
James Young,SG,20,BOS,29,0,6.9,0.4,1.2,.306,0.2,0.9,.231,0.2,0.3,.500,.389,0.0,0.1,.250,0.1,0.8,0.9,0.3,0.2,0.0,0.2,0.6,1.0,2015-16
Tyler Zeller,C,26,BOS,60,3,11.8,2.3,4.8,.476,0.0,0.0,,2.3,4.8,.476,.476,1.5,1.8,.815,1.0,1.9,3.0,0.5,0.2,0.4,0.8,1.6,6.1,2015-16
Cameron Bairstow,C,25,CHI,18,2,5.7,0.7,2.2,.325,0.1,0.3,.200,0.7,1.9,.343,.338,0.4,0.4,.875,0.2,1.3,1.6,0.3,0.1,0.2,0.2,1.1,1.9,2015-16
Aaron Brooks,PG,31,CHI,69,0,16.1,2.7,6.8,.401,1.0,2.7,.357,1.8,4.1,.430,.471,0.7,0.9,.766,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,7.1,2015-16
Jimmy Butler,SG,26,CHI,67,67,36.9,7.0,15.4,.454,1.0,3.1,.312,6.1,12.4,.489,.485,5.9,7.1,.832,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9,20.9,2015-16
Mike Dunleavy,SF,35,CHI,31,30,22.7,2.5,6.1,.410,1.3,3.2,.394,1.2,2.9,.427,.513,0.9,1.2,.784,0.3,2.4,2.7,1.3,0.5,0.3,0.8,2.1,7.2,2015-16
Cristiano Felício,C,23,CHI,31,4,10.4,1.3,2.3,.556,0.0,0.1,.000,1.3,2.2,.588,.556,0.8,1.1,.714,1.0,2.3,3.3,0.8,0.2,0.4,0.4,1.0,3.4,2015-16
Pau Gasol,C,35,CHI,72,72,31.8,6.5,13.8,.469,0.3,1.0,.348,6.2,12.9,.478,.481,3.2,4.0,.792,2.2,8.9,11.0,4.1,0.6,2.0,2.3,2.1,16.5,2015-16
Taj Gibson,PF,30,CHI,73,55,26.5,3.6,6.8,.526,0.0,0.0,.000,3.6,6.8,.529,.526,1.4,2.0,.692,2.8,4.1,6.9,1.5,0.6,1.1,1.1,2.5,8.6,2015-16
Doug McDermott,SF,24,CHI,81,4,23.0,3.6,8.0,.452,1.4,3.2,.425,2.2,4.8,.470,.537,0.9,1.0,.857,0.5,2.0,2.4,0.7,0.2,0.1,0.7,1.6,9.4,2015-16
Nikola Mirotić,PF,24,CHI,66,38,24.9,3.8,9.2,.407,2.0,5.2,.390,1.7,4.0,.430,.518,2.2,2.7,.807,0.9,4.6,5.5,1.5,0.9,0.7,1.5,2.3,11.8,2015-16
E'Twaun Moore,SG,26,CHI,59,22,21.4,3.2,6.6,.481,0.8,1.8,.452,2.4,4.8,.491,.541,0.4,0.6,.629,0.3,1.9,2.3,1.7,0.6,0.3,0.9,1.7,7.5,2015-16
