PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON
Bogdan Bogdanović,SG,28,ATL,44,27,29.7,6.1,12.8,.473,3.3,7.6,.438,2.8,5.3,.522,.602,0.9,1.0,.909,0.5,3.2,3.6,3.3,1.1,0.3,1.2,2.3,16.4,2020-21
Clint Capela,C,26,ATL,63,63,30.1,6.6,11.0,.594,0.0,0.0,0,6.6,11.0,.594,.594,2.1,3.6,.573,4.7,9.6,14.3,0.8,0.7,2.0,1.2,2.3,15.2,2020-21
John Collins,PF,23,ATL,63,63,29.3,6.8,12.2,.556,1.3,3.3,.399,5.5,8.9,.615,.610,2.7,3.2,.833,1.9,5.5,7.4,1.2,0.5,1.0,1.3,3.1,17.6,2020-21
Kris Dunn,PG,26,ATL,4,0,11.3,0.3,3.0,.083,0.0,0.5,.000,0.3,2.5,.100,.083,0.8,1.0,.750,0.0,1.5,1.5,0.5,0.5,0.5,0.8,2.5,1.3,2020-21
Bruno Fernando,C,22,ATL,33,0,6.8,0.5,1.3,.409,0.0,0.1,.000,0.5,1.3,.429,.409,0.5,0.7,.682,0.5,1.9,2.4,0.3,0.1,0.1,0.6,0.7,1.5,2020-21
Danilo Gallinari,PF,32,ATL,51,4,24.0,4.0,9.3,.434,2.0,5.0,.406,2.0,4.3,.466,.542,3.2,3.4,.925,0.3,3.8,4.1,1.5,0.6,0.2,0.8,2.1,13.3,2020-21
Brandon Goodwin,PG,25,ATL,47,5,13.2,1.8,4.7,.377,0.7,2.2,.311,1.1,2.6,.433,.448,0.6,0.9,.651,0.2,1.3,1.5,2.0,0.4,0.0,0.8,0.9,4.9,2020-21
Solomon Hill,PF,29,ATL,71,16,21.3,1.5,4.2,.359,1.0,3.0,.321,0.5,1.2,.453,.473,0.5,0.6,.761,0.6,2.4,3.0,1.1,0.7,0.2,0.6,1.6,4.5,2020-21
Kevin Huerter,SG,22,ATL,69,49,30.8,4.6,10.6,.432,2.0,5.6,.363,2.6,5.0,.510,.528,0.7,0.9,.781,0.6,2.8,3.3,3.5,1.2,0.3,1.1,2.4,11.9,2020-21
De'Andre Hunter,SF,23,ATL,23,19,29.5,5.2,10.8,.484,1.3,4.1,.326,3.9,6.7,.582,.546,3.2,3.7,.859,0.7,4.0,4.8,1.9,0.8,0.5,1.3,2.6,15.0,2020-21
Nathan Knight,PF,23,ATL,33,0,8.5,1.1,3.0,.370,0.2,1.0,.182,0.9,2.0,.463,.400,1.3,1.7,.800,0.8,1.4,2.2,0.2,0.3,0.3,0.5,0.7,3.8,2020-21
Skylar Mays,SG,23,ATL,33,0,8.2,1.3,3.0,.449,0.4,1.2,.350,0.9,1.8,.517,.520,0.7,0.8,.880,0.3,0.8,1.1,0.9,0.4,0.1,0.3,0.5,3.8,2020-21
Onyeka Okongwu,C,20,ATL,50,4,12.0,1.9,3.0,.644,0.0,0.1,.000,1.9,2.9,.658,.644,0.7,1.1,.632,1.2,2.0,3.3,0.4,0.5,0.7,0.6,2.0,4.6,2020-21
Cam Reddish,SF,21,ATL,26,21,28.8,3.7,10.1,.365,1.3,4.8,.262,2.4,5.3,.460,.428,2.6,3.2,.817,0.8,3.2,4.0,1.3,1.3,0.3,1.3,2.6,11.2,2020-21
Tony Snell,SG,29,ATL,47,23,21.1,1.9,3.6,.515,1.3,2.3,.569,0.6,1.3,.419,.696,0.2,0.2,1.000,0.4,2.0,2.4,1.3,0.3,0.2,0.4,1.6,5.3,2020-21
Trae Young,PG,22,ATL,63,63,33.7,7.7,17.7,.438,2.2,6.3,.343,5.6,11.3,.491,.499,7.7,8.7,.886,0.6,3.3,3.9,9.4,0.8,0.2,4.1,1.8,25.3,2020-21
Bruce Brown,PG,24,BRK,65,37,22.3,3.6,6.5,.556,0.3,0.9,.288,3.4,5.6,.599,.576,1.3,1.8,.735,1.7,3.7,5.4,1.6,0.9,0.4,0.8,2.2,8.8,2020-21
Chris Chiozza,PG,25,BRK,22,1,10.5,1.4,4.0,.352,0.6,1.9,.310,0.8,2.1,.391,.426,0.6,0.8,.765,0.1,1.0,1.1,3.0,0.3,0.3,0.7,0.9,4.0,2020-21
Nicolas Claxton,C,21,BRK,32,1,18.6,2.8,4.5,.621,0.0,0.2,.200,2.8,4.4,.636,.624,1.0,2.0,.484,1.3,3.8,5.2,0.9,0.7,1.3,0.6,2.1,6.6,2020-21
Spencer Dinwiddie,SG,27,BRK,3,3,21.3,2.0,5.3,.375,0.7,2.3,.286,1.3,3.0,.444,.438,2.0,2.0,1.000,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7,2020-21
Kevin Durant,PF,32,BRK,35,32,33.1,9.3,17.2,.537,2.4,5.4,.450,6.8,11.8,.577,.608,6.0,6.8,.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,2.0,26.9,2020-21
Jeff Green,C,34,BRK,68,38,27.0,3.8,7.8,.492,1.5,3.7,.412,2.3,4.1,.564,.590,1.8,2.4,.776,0.5,3.4,3.9,1.6,0.5,0.4,0.8,1.8,11.0,2020-21
Joe Harris,SF,29,BRK,69,65,31.0,5.2,10.2,.505,3.1,6.4,.475,2.1,3.8,.555,.654,0.7,0.9,.778,0.6,3.0,3.6,1.9,0.7,0.2,0.9,2.0,14.1,2020-21
Kyrie Irving,PG,28,BRK,54,54,34.9,10.2,20.1,.506,2.8,7.0,.402,7.4,13.1,.561,.576,3.7,4.0,.922,1.0,3.8,4.8,6.0,1.4,0.7,2.4,2.6,26.9,2020-21
