PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON
Pero Antić,C,32,ATL,63,3,16.5,1.7,4.7,.365,0.8,2.7,.301,0.9,2.0,.455,.453,1.4,2.0,.715,0.9,2.1,3.0,0.8,0.3,0.2,0.8,2.1,5.7,2014-15
Kent Bazemore,SG,25,ATL,75,10,17.7,1.9,4.4,.426,0.6,1.8,.364,1.2,2.7,.467,.498,0.8,1.3,.600,0.3,2.7,3.0,1.0,0.7,0.4,1.0,1.7,5.2,2014-15
Elton Brand,C,35,ATL,36,4,13.5,1.2,2.6,.442,0.0,0.0,.000,1.2,2.6,.447,.442,0.3,0.6,.522,0.8,2.0,2.8,0.6,0.5,0.7,0.5,1.5,2.7,2014-15
DeMarre Carroll,SF,28,ATL,70,69,31.3,4.5,9.3,.487,1.7,4.3,.395,2.8,5.0,.567,.579,1.8,2.6,.702,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6,2014-15
Al Horford,C,28,ATL,76,76,30.5,6.8,12.7,.538,0.1,0.5,.306,6.7,12.2,.547,.544,1.4,1.9,.759,1.7,5.4,7.2,3.2,0.9,1.3,1.3,1.6,15.2,2014-15
John Jenkins,SG,23,ATL,24,3,12.4,2.0,4.1,.495,0.9,2.2,.404,1.2,2.0,.596,.601,0.7,0.8,.842,0.1,1.5,1.6,0.5,0.4,0.0,0.3,0.6,5.6,2014-15
Kyle Korver,SG,33,ATL,75,75,32.2,3.9,8.0,.487,2.9,6.0,.492,0.9,2.0,.470,.671,1.4,1.6,.898,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1,2014-15
Shelvin Mack,PG,24,ATL,55,0,15.1,2.1,5.3,.401,0.7,2.3,.315,1.4,3.0,.467,.469,0.5,0.6,.806,0.1,1.3,1.4,2.8,0.5,0.0,0.9,0.6,5.4,2014-15
Paul Millsap,PF,29,ATL,73,73,32.7,6.1,12.7,.476,1.1,3.0,.356,5.0,9.8,.513,.518,3.5,4.6,.757,1.9,5.9,7.8,3.1,1.8,0.9,2.3,2.8,16.7,2014-15
Mike Muscala,PF,23,ATL,40,8,12.6,2.1,3.8,.550,0.2,0.6,.409,1.9,3.2,.574,.579,0.6,0.6,.880,1.3,1.7,3.0,0.6,0.4,0.5,0.5,1.3,4.9,2014-15
Dennis Schröder,PG,21,ATL,77,10,19.7,3.7,8.6,.427,0.7,1.9,.351,3.0,6.7,.449,.466,1.9,2.3,.827,0.4,1.8,2.1,4.1,0.6,0.1,1.9,1.6,10.0,2014-15
Mike Scott,PF,26,ATL,68,0,16.5,3.0,6.7,.444,1.0,2.8,.344,2.0,3.8,.517,.517,0.9,1.1,.792,0.7,2.3,2.9,1.1,0.4,0.0,0.6,1.2,7.8,2014-15
Thabo Sefolosha,SF,30,ATL,52,7,18.8,2.0,4.8,.418,0.5,1.5,.321,1.5,3.3,.462,.468,0.9,1.1,.776,1.0,3.3,4.3,1.4,1.0,0.4,0.7,1.3,5.3,2014-15
Jeff Teague,PG,26,ATL,73,72,30.5,5.6,12.2,.460,1.0,2.8,.343,4.6,9.3,.496,.500,3.8,4.4,.862,0.4,2.1,2.5,7.0,1.7,0.4,2.8,1.9,15.9,2014-15
Alan Anderson,SG,32,BRK,74,19,23.6,2.6,5.9,.443,1.0,2.8,.348,1.6,3.1,.530,.526,1.1,1.4,.812,0.4,2.3,2.8,1.1,0.8,0.1,0.8,2.0,7.4,2014-15
Bojan Bogdanović,SF,25,BRK,78,28,23.8,3.3,7.4,.453,1.2,3.3,.355,2.2,4.1,.531,.532,1.1,1.4,.821,0.6,2.1,2.7,0.9,0.4,0.1,1.0,1.3,9.0,2014-15
Markel Brown,SG,23,BRK,47,29,16.6,1.6,4.5,.362,0.4,1.4,.266,1.3,3.1,.404,.402,1.0,1.2,.825,0.3,1.9,2.3,0.8,0.7,0.3,0.6,1.2,4.6,2014-15
Earl Clark,PF,27,BRK,10,0,9.3,1.1,3.0,.367,0.4,1.4,.286,0.7,1.6,.438,.433,0.1,0.4,.250,0.1,2.2,2.3,0.3,0.3,0.4,0.6,1.2,2.7,2014-15
Jarrett Jack,PG,31,BRK,80,27,28.0,4.5,10.2,.439,0.5,1.8,.267,4.0,8.4,.477,.463,2.5,2.8,.881,0.2,2.8,3.1,4.7,0.9,0.2,2.4,1.8,12.0,2014-15
Cory Jefferson,PF,24,BRK,50,1,10.6,1.5,3.3,.449,0.0,0.3,.133,1.5,3.0,.480,.455,0.6,1.1,.574,0.9,2.0,2.9,0.3,0.2,0.4,0.4,1.2,3.7,2014-15
Joe Johnson,SG,33,BRK,80,80,34.9,5.6,12.8,.435,1.5,4.2,.359,4.1,8.6,.472,.494,1.8,2.2,.801,0.7,4.1,4.8,3.7,0.7,0.2,1.7,1.5,14.4,2014-15
Jerome Jordan,C,28,BRK,44,0,8.7,1.1,2.1,.532,0.0,0.0,0,1.1,2.1,.532,.532,0.9,1.0,.864,1.2,1.2,2.4,0.3,0.2,0.3,0.5,1.3,3.1,2014-15
Sergey Karasev,SG,21,BRK,33,16,16.8,1.6,4.1,.403,0.5,1.6,.296,1.2,2.4,.475,.463,0.9,1.2,.763,0.7,1.3,2.0,1.4,0.7,0.0,0.7,1.4,4.6,2014-15
Andrei Kirilenko,SF,33,BRK,7,0,5.1,0.0,0.7,.000,0.0,0.0,0,0.0,0.7,.000,.000,0.4,0.6,.750,0.3,0.9,1.1,0.1,0.1,0.0,0.1,0.1,0.4,2014-15
Brook Lopez,C,26,BRK,72,44,29.2,7.0,13.7,.513,0.0,0.1,.100,7.0,13.6,.517,.513,3.1,3.8,.814,3.0,4.5,7.4,0.7,0.6,1.8,1.4,2.9,17.2,2014-15
Darius Morris,PG,24,BRK,38,0,7.9,0.9,2.8,.340,0.2,0.9,.212,0.8,1.9,.397,.373,0.1,0.2,.444,0.2,0.5,0.7,1.3,0.2,0.0,0.6,0.5,2.2,2014-15
