PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Kent Bazemore,SF,27,ATL,73.66666666666667,64,26.9,4.0,9.9,0.4332689316613201,1.0519900497512438,3.6,0.346,2.8,6.2,0.446,0.473,1.6,2.3,0.7049264705882353,0.6,2.5,3.8373134328358205,1.7154228855721392,0.9905472636815921,0.7,1.4248756218905474,2.3,8.53457711442786,2016-17,2.1075610196355834
Tim Hardaway,SG,24,ATL,62.333333333333336,30,27.3,5.3,11.5,0.416,1.2833333333333334,5.3,0.357,3.4,6.3,0.537,0.537,2.1,2.7,0.8515,0.4,2.4,1.8333333333333333,1.2333333333333334,0.38333333333333336,0.2,0.75,1.3,8.733333333333334,2016-17,3.6481706623004646
Dwight Howard,C,31,ATL,61.0,74,29.7,5.2,8.3,0.6061666666666666,0.0,0.0,0.0,5.2,8.3,0.635,0.633,3.1,5.7,0.5116666666666667,4.0,8.7,11.433333333333335,1.3999999999999997,0.8666666666666667,1.2,2.6166666666666667,2.7,15.166666666666666,2016-17,3.7796721762494196
Kris Humphries,PF,31,ATL,59.333333333333336,4,12.3,1.6,3.8,0.4465481380563125,0.3207547169811321,1.0,0.352,1.2,2.9,0.425,0.451,1.1,1.5,0.7785542822677926,1.1,2.6,5.208490566037736,0.8119496855345911,0.3889937106918239,0.4,0.7446540880503144,1.2,7.30062893081761,2016-17,-1.9980890615981113
Ryan Kelly,PF,25,ATL,45.166666666666664,0,6.9,0.5,1.8,0.3673333333333333,0.4833333333333334,0.6,0.4,0.3,1.1,0.222,0.357,0.3,0.4,0.7556666666666668,0.1,1.1,3.25,1.1666666666666667,0.4833333333333334,0.3,0.6166666666666667,0.3,5.566666666666667,2016-17,-5.753584233547394
Paul Millsap,PF,31,ATL,77.16666666666667,67,34.0,6.2,14.1,0.4705,0.9833333333333334,3.5,0.311,5.1,10.6,0.486,0.481,4.5,5.9,0.7526666666666667,1.6,6.1,8.516666666666667,3.1999999999999997,1.7833333333333332,0.9,2.3833333333333333,2.7,17.099999999999998,2016-17,5.665168640008176
Mike Muscala,C,25,ATL,46.666666666666664,3,17.7,2.4,4.8,0.5041666666666668,0.16666666666666666,1.6,0.418,1.8,3.2,0.546,0.573,0.7,0.9,0.8574999999999999,1.1,2.3,2.433333333333333,0.5666666666666667,0.26666666666666666,0.6,0.5166666666666667,1.4,3.9166666666666665,2016-17,0.4798626231458217
Gary Neal,SG,32,ATL,46.666666666666664,0,9.0,0.0,3.5,0.4248611120492871,1.0234567901234568,1.0,0.0,0.0,2.5,0.0,0.0,2.0,2.0,0.8567908022450395,0.0,0.5,2.14161918328585,1.490645773979107,0.45140075973409305,0.0,0.9587369420702755,0.5,10.000664767331434,2016-17,-8.995599927560392
Dennis Schröder,PG,23,ATL,73.83333333333333,78,31.5,6.9,15.4,0.4166666666666667,0.7666666666666666,3.7,0.34,5.7,11.6,0.487,0.493,2.8,3.2,0.7835000000000001,0.5,2.6,2.2,3.8833333333333333,0.7000000000000001,0.2,1.9833333333333332,1.9,9.450000000000001,2016-17,4.294805251269411
Mike Scott,PF,28,ATL,73.5,0,10.8,0.9,3.3,0.4618333333333333,0.8666666666666667,1.5,0.148,0.7,1.8,0.406,0.322,0.4,0.4,0.791,0.6,1.5,2.9166666666666665,1.0166666666666666,0.35000000000000003,0.2,0.6666666666666666,0.7,7.3,2016-17,-5.086048718726344
Thabo Sefolosha,SF,32,ATL,65.0,42,25.7,2.8,6.4,0.461,0.6,1.9,0.342,2.1,4.4,0.484,0.492,0.9,1.2,0.6996666666666668,0.9,3.5,4.283333333333333,1.4166666666666667,1.0999999999999999,0.5,0.8333333333333334,1.6,6.016666666666667,2016-17,2.5963591965835935
Anthony Bennett,PF,23,BRK,37.166666666666664,1,11.5,1.7,4.0,0.3476666666666666,0.18333333333333335,2.1,0.271,1.1,1.9,0.568,0.484,1.1,1.6,0.77,1.1,2.3,2.3666666666666667,0.3166666666666667,0.3833333333333333,0.1,0.45,0.8,3.1833333333333336,2016-17,-3.5351863821199134
Trevor Booker,PF,29,BRK,77.83333333333333,43,24.7,4.3,8.3,0.4991666666666667,0.23333333333333336,1.1,0.321,3.9,7.2,0.546,0.537,1.0,1.5,0.6316666666666667,2.0,6.0,5.400000000000001,1.0666666666666667,0.6166666666666666,0.4,1.0,2.1,6.483333333333334,2016-17,2.8455199314136967
Randy Foye,SG,33,BRK,70.66666666666667,40,18.6,1.7,4.7,0.367477653631285,1.4666666666666666,2.9,0.33,0.7,1.8,0.418,0.466,0.8,0.9,0.8070238095238095,0.1,2.1,2.0,2.3833333333333333,0.6166666666666667,0.1,1.2333333333333334,1.4,8.033333333333333,2016-17,-0.5625588578517047
Jeremy Lin,PG,28,BRK,75.5,33,24.5,4.9,11.1,0.4216666666666667,1.0,4.3,0.372,3.3,6.8,0.48,0.51,3.2,3.9,0.8096666666666668,0.3,3.4,2.9000000000000004,3.7166666666666663,0.8833333333333333,0.4,2.1,2.2,11.666666666666666,2016-17,3.5284381127864695
Brook Lopez,C,28,BRK,63.333333333333336,75,29.6,7.4,15.6,0.5203333333333333,0.0,5.2,0.346,5.6,10.5,0.536,0.531,3.9,4.9,0.801,1.6,3.8,7.366666666666667,1.3833333333333335,0.6833333333333335,1.7,1.9333333333333333,2.6,19.483333333333334,2016-17,3.8926034132444984
Luis Scola,PF,36,BRK,78.66666666666667,1,12.8,2.0,4.2,0.459,0.4833333333333334,1.4,0.34,1.5,2.8,0.535,0.526,0.7,1.0,0.7173333333333334,1.4,2.4,5.316666666666667,1.05,0.5499999999999999,0.1,1.0666666666666667,1.8,8.75,2016-17,-2.4084834067977803
Greivis Vásquez,PG,30,BRK,52.0,0,13.0,0.7,2.7,0.3697386508057547,1.1605485232067512,1.0,0.333,0.3,1.7,0.2,0.313,0.7,1.0,0.829864898989899,0.0,0.7,2.2348101265822784,3.910759493670886,0.46286919831223633,0.3,1.6257383966244727,2.0,7.611392405063292,2016-17,-7.126579738746929
Avery Bradley,SG,26,BOS,73.66666666666667,55,33.4,6.5,14.1,0.4395,1.7,5.0,0.39,4.6,9.1,0.504,0.533,1.2,1.7,0.7873333333333333,1.2,4.9,3.1166666666666667,1.8833333333333335,1.3,0.2,1.4333333333333333,2.6,14.716666666666667,2016-17,5.112163257918687
Jae Crowder,SF,26,BOS,76.83333333333333,72,32.4,4.6,10.0,0.4337399213372665,1.186178861788618,5.5,0.398,2.4,4.5,0.54,0.572,2.4,3.0,0.788206236711552,0.7,5.1,4.154471544715446,1.4085365853658536,1.2760162601626015,0.3,0.836178861788618,2.2,10.433739837398372,2016-17,6.221496590339169
