,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
4,Patty Mills,PG,32,SAS,71.71428571428571,1,24.8,3.7,9.0,0.4278571428571429,2.157142857142857,6.3,0.375,1.3,2.7,0.5,0.544,1.0,1.1,0.8642857142857142,0.3,1.4,1.792857142857143,2.2142857142857144,0.7357142857142858,0.0,0.9214285714285715,1.2,11.0,2020-21,3.1818707985768158
3,Dejounte Murray,PG,24,SAS,68.28571428571429,67,31.9,6.6,14.5,0.4543571428571429,0.42857142857142855,3.0,0.317,5.6,11.6,0.488,0.485,1.6,2.0,0.7655714285714286,0.9,6.2,5.435714285714285,3.557142857142857,1.4499999999999997,0.1,1.7785714285714285,2.0,9.564285714285715,2020-21,7.126869186428822
4,Jakob Poeltl,C,25,SAS,70.28571428571429,51,26.7,3.8,6.2,0.6325000000000001,0.0,0.0,,3.8,6.2,0.616,0.616,0.9,1.8,0.49364285714285716,3.2,4.8,5.521428571428572,1.55,0.5357142857142857,1.8,0.7571428571428571,2.5,5.664285714285714,2020-21,1.7074332885600267
3,Derrick White,SG,26,SAS,64.07142857142857,32,29.6,5.2,12.6,0.4659285714285714,1.007142857142857,6.8,0.346,2.8,5.8,0.486,0.503,2.7,3.2,0.8189285714285715,0.4,2.6,3.2857142857142856,3.4,0.6857142857142857,1.0,1.2642857142857145,2.5,10.321428571428571,2020-21,2.9226084365536664
3,OG Anunoby,SF,23,TOR,68.78571428571429,43,33.3,5.8,12.1,0.48771428571428566,1.192857142857143,6.1,0.398,3.4,6.0,0.562,0.58,1.9,2.4,0.6647857142857142,1.3,4.3,4.414285714285714,1.2785714285714285,1.1500000000000001,0.7,0.9785714285714286,2.7,9.235714285714284,2020-21,5.5480188037813525
4,Aron Baynes,C,34,TOR,47.357142857142854,31,18.5,2.5,5.7,0.4767857142857143,1.0142857142857142,1.9,0.262,2.0,3.8,0.532,0.485,0.5,0.8,0.7785000000000001,1.6,3.5,5.328571428571428,1.4214285714285713,0.20714285714285716,0.4,1.0714285714285714,2.2,9.421428571428573,2020-21,-1.4684556761271663
4,DeAndre' Bembry,SF,26,TOR,52.92857142857143,12,19.1,2.3,4.5,0.4501428571428571,0.39285714285714285,1.0,0.264,2.0,3.4,0.589,0.544,0.9,1.3,0.5724285714285714,0.6,2.2,3.7071428571428577,2.0714285714285716,1.2642857142857145,0.4,1.5142857142857142,1.7,6.5,2020-21,-0.45313371269089553
3,Chris Boucher,C,28,TOR,47.92857142857143,14,24.2,4.8,9.3,0.4311428571428571,0.5,3.9,0.383,3.3,5.4,0.609,0.595,2.5,3.2,,2.0,4.8,3.5357142857142856,0.2857142857142857,0.31428571428571433,1.9,0.40714285714285714,2.8,5.185714285714285,2020-21,4.0059396967496825
4,Henry Ellenson,PF,24,TOR,11.357142857142858,0,19.0,2.5,7.0,0.23725563909774433,0.29586466165413533,4.5,0.222,1.5,2.5,0.6,0.429,1.5,2.0,,1.5,4.5,1.9259398496240603,0.4093984962406015,0.1093984962406015,0.0,0.16353383458646617,3.5,2.257142857142857,2020-21,-2.0191339191594873
4,Stanley Johnson,PF,24,TOR,39.857142857142854,13,16.5,1.5,3.8,0.37783330102733087,0.5396103896103897,2.2,0.328,0.7,1.6,0.458,0.479,0.7,0.9,0.645118610747051,0.5,2.0,2.155844155844156,1.0233766233766235,0.49090909090909085,0.3,0.8019480519480519,1.9,4.135714285714285,2020-21,-0.3146246321405026
