PLAYER,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,VALUE
Joe Harris,29,73.55819823589208,65,31.0,5.2,10.2,0.4919810440581169,2.3211832893213016,6.4,0.475,2.1,3.8,0.555,0.654,0.7,0.9,0.7818843318883554,0.6,3.0,3.888278356401466,2.0817339357718927,0.5176556712802932,0.2,1.4617538512709671,2.0,13.334765364957638,4.53093183016477
Kyrie Irving,28,45.67806293379829,54,34.9,10.2,20.1,0.4842050848102861,2.7317837245195777,7.0,0.402,7.4,13.1,0.561,0.576,3.7,4.0,0.8973280409956799,1.0,3.8,4.794130387663107,6.257005447334331,1.361753851270967,0.7,2.5276457135307564,2.6,25.44856417665997,10.484848729061925
Tyler Johnson,28,53.09843630485478,3,17.5,1.8,4.7,0.4083495180777892,1.360059641402659,3.4,0.364,0.6,1.3,0.471,0.525,0.5,0.5,0.8197736835334462,0.2,1.8,2.6899424373543352,2.3280094295668854,0.6911401463756162,0.0,1.0365280104376624,1.1,9.449783502346428,0.36361736071313366
DeAndre Jordan,32,65.49885795907447,43,21.9,3.3,4.4,0.6527211086264836,0.0,0.0,0.0,3.3,4.4,0.766,0.763,0.8,1.6,0.6623835682896243,2.1,5.4,12.30012385616669,1.9315567147760029,0.4658845501413827,1.1,1.7275637171106375,2.0,10.103897156206887,0.5061663291037419
Timothé Luwawu-Cabarrot,25,65.9386556147102,7,18.1,2.2,6.1,0.392599230888919,0.8768500409967835,4.1,0.314,0.9,2.0,0.47,0.471,0.6,0.7,0.7846045967070773,0.5,1.7,2.0325755895700617,0.7747677980813031,0.3428956932080493,0.1,0.6695702871757202,1.7,5.669770515924288,0.2084261849770055
Andre Roberson,29,35.27963282948598,0,12.6,0.4,2.8,0.4103642590226766,0.380019915499074,1.6,0.125,0.2,1.2,0.167,0.179,0.2,0.4,0.418670093030906,1.4,1.6,4.462282247798663,0.9011212084002568,0.7404885655295469,0.2,0.5428949751702982,0.8,4.508640425665101,-4.922904258543233
Iman Shumpert,30,29.954168447600814,0,5.5,0.5,2.0,0.3570375027751021,0.908161181850371,1.5,0.0,0.5,0.5,1.0,0.25,0.0,0.0,0.6792811750558108,0.5,0.0,2.7988844748603485,1.2947312012396242,0.840848863623741,0.0,0.8734545489769925,0.0,5.37820578643745,-3.0977796107599325
Noah Vonleh,25,51.25586126502211,0,2.8,0.0,0.8,0.4959187856897416,0.3796829012982589,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7122416156064398,0.0,0.3,5.494677323656855,1.1280303948643997,0.4591145521818237,0.0,0.8520597060453323,0.5,5.576876112982473,-10.351929641841116
Jaylen Brown,24,65.93373582950308,58,34.5,9.3,19.2,0.4716838026832065,1.8142100496594036,7.1,0.397,6.5,12.1,0.536,0.558,3.3,4.3,0.6821941526996624,1.2,4.8,5.287849537369142,1.740652558369784,1.0076656290298305,0.6,1.7965543783791105,2.9,16.411256406559225,7.530401502434552
Semi Ojeleye,26,65.5306659133625,15,17.0,1.6,3.9,0.39850408283479,0.5835475335400824,2.8,0.367,0.6,1.1,0.492,0.534,0.4,0.6,0.7224058888276197,0.6,2.1,1.9194692690484825,0.4176556712802932,0.2658918622597891,0.0,0.3,1.0,3.1970651938315537,-0.2828959248365752
Marcus Smart,26,65.3745418186573,45,32.9,4.2,10.6,0.3891013770987193,1.8441801764107923,5.9,0.33,2.3,4.8,0.482,0.489,2.7,3.4,0.7999611965039064,0.8,2.7,3.4206724738688576,4.568908664848354,1.6376357557812191,0.5,1.8006103929478134,2.6,10.884485912168367,6.810811574030632
Jayson Tatum,22,73.81059127479212,64,35.8,9.5,20.6,0.456029523872437,2.0365965438010805,7.6,0.386,6.5,13.0,0.502,0.53,4.6,5.3,0.8300430325968554,0.8,6.6,6.176556712802933,2.3553734234816317,1.2012032048203756,0.5,1.8100720386705813,1.9,18.482454322477704,10.858114696780772
Tristan Thompson,29,51.26013689678055,43,23.8,3.1,6.0,0.5298574311607098,0.0835475335400823,0.1,0.0,3.1,6.0,0.523,0.518,1.3,2.2,0.607085349392136,3.1,5.0,9.289974795599033,1.7041204299135702,0.5617538512709671,0.6,1.398268398651929,2.2,10.12948856449331,1.219553656156533
Kemba Walker,30,70.65645872999433,43,31.8,6.6,15.7,0.4295168181260038,3.127645713530756,8.2,0.36,3.7,7.5,0.486,0.514,3.1,3.5,0.8571783724519577,0.4,3.6,3.877595924783072,5.368134279060303,1.0505606042001283,0.3,2.2946587841908026,1.4,22.58363078581668,7.778513087213346
Ryan Arcidiacono,26,57.644719213734206,0,10.2,1.1,2.7,0.4234081780706649,0.8135176602914713,1.5,0.373,0.5,1.1,0.48,0.526,0.3,0.5,0.7956792596366342,0.1,1.4,1.955802242513956,2.1974940128638782,0.6023244132206327,0.0,0.6440981799906739,1.1,4.647426643040941,-1.5282441922390362
Cristiano Felício,28,42.92006385289695,0,4.7,0.4,0.7,0.5868268863961894,0.0,0.1,0.0,0.4,0.6,0.636,0.538,0.5,0.9,0.7215970342464857,0.6,0.9,4.162446240638899,0.7382461487290328,0.3494393957998714,0.0,0.780019915499074,0.6,4.344115761065925,-4.807770147163215
Zach LaVine,25,52.340729755897065,58,35.1,9.8,19.4,0.4396392594377047,2.3771671057507464,8.2,0.419,6.4,11.1,0.571,0.596,4.4,5.1,0.8148854318259355,0.6,4.4,4.548829002852058,4.012907267343658,1.2088688338502058,0.5,3.0141104721640333,2.4,22.763661117578383,9.610218559308594
Lauri Markkanen,23,55.023419942958846,26,25.8,4.9,10.2,0.4288760354810879,2.209990042250463,5.8,0.402,2.6,4.4,0.582,0.594,1.5,1.8,0.8449543442583533,0.7,4.6,7.510336864862669,1.3935375757905453,0.7176556712802932,0.3,1.5035276180410082,1.5,16.184915987057174,3.7037830537590466
Tomáš Satoranský,29,72.04566830021146,18,22.5,2.9,5.7,0.4711893045625815,0.8353113425605865,2.0,0.356,2.2,3.6,0.602,0.578,1.2,1.4,0.8336461707728192,0.5,1.9,3.5947407806109206,4.901796016692938,1.0111932470708385,0.2,1.6123964518912142,1.5,8.907730044374699,2.8452309094280857
Garrett Temple,34,67.15760077091984,25,27.3,2.8,6.8,0.4025571301105556,1.5783333486109998,3.6,0.335,1.6,3.2,0.503,0.503,0.7,0.9,0.7775580098665746,0.5,2.3,3.0032053766625424,1.9801019119191925,0.8923343709701697,0.5,1.0232235566366743,2.3,8.979047688452388,2.4025158858998914
Denzel Valentine,27,55.049136526333534,3,16.7,2.5,6.7,0.3984636984998554,1.504648826441265,3.9,0.331,1.2,2.8,0.431,0.469,0.3,0.3,0.7550476598501189,0.4,2.8,3.243834609655066,1.85804465931447,0.6858719467607151,0.1,0.9528850174207611,1.1,7.549669059841455,0.7174484807897024
Thaddeus Young,32,73.89845964909298,23,24.3,5.4,9.7,0.4843514860557682,0.874760696109995,0.7,0.267,5.3,9.1,0.58,0.568,1.0,1.7,0.6074236783449908,2.5,3.8,5.783383540699845,2.062875059671224,1.5064624242094544,0.6,1.4935375757905454,2.2,11.446258600371069,3.6428823434214745
Bismack Biyombo,28,60.335329069429,36,20.4,2.2,3.7,0.547003116604617,0.0,0.0,0.0,2.2,3.7,0.589,0.587,0.7,1.6,0.6259322717118533,2.1,3.2,5.366584251627721,0.7735574912896194,0.2241180954897479,1.1,0.8217936822691152,2.1,5.966748244467958,-0.7432669030343568
Gordon Hayward,30,46.521398848270735,44,34.0,7.1,15.0,0.4884032331683283,1.043569783462979,4.7,0.415,5.1,10.3,0.499,0.537,3.5,4.2,0.0,0.8,5.0,4.574889526799728,2.8724011207388584,0.5993896070521862,0.3,1.2635498679639048,1.7,11.715206934676416,4.550048691285243
Malik Monk,22,63.06891243241779,0,20.9,4.1,9.5,0.4001217845996874,1.2846687419403393,5.0,0.401,2.1,4.5,0.471,0.54,1.4,1.7,0.8464530264066752,0.3,2.1,2.1006748082926805,1.76063264287071,0.4517638090205041,0.1,1.187075151581091,1.1,8.954234634006122,2.4703367864517993
Terry Rozier,26,72.55737827169088,69,34.5,7.4,16.4,0.4039680036763946,2.097757583199486,8.3,0.389,4.2,8.2,0.512,0.548,2.4,2.9,0.8190433000116694,0.7,3.7,4.301813597768189,3.4012852012404937,0.9658918622597892,0.4,1.4671770635002832,1.7,13.314355205567908,8.678667292232367
Cody Zeller,28,48.90074373094404,21,20.9,3.8,6.8,0.538273997242704,0.1835475335400823,0.6,0.143,3.7,6.2,0.598,0.565,1.8,2.5,0.7264960590035306,2.5,4.4,6.587667963453652,1.5599402535027778,0.6617538512709672,0.4,1.227645713530756,2.5,9.794194803007972,1.8564947743529103
Matthew Dellavedova,30,49.34782946032891,1,17.2,1.1,4.3,0.3753339386743532,0.667013070660046,1.9,0.16,0.8,2.4,0.323,0.286,0.3,0.3,0.8770321131405868,0.5,1.4,1.5073238296146771,3.5323033305096474,0.3573648278247363,0.1,1.2173138718651404,1.6,4.34444500260288,-1.3080463826931652
Damyean Dotson,26,55.562310615462806,7,19.7,2.6,6.4,0.4223000528890188,1.201714020272819,3.5,0.289,1.6,2.9,0.545,0.485,0.5,0.8,0.7005985951293914,0.1,1.9,2.479838341583585,1.284058348992526,0.5540882222411367,0.1,0.6046488264412653,0.9,7.437255026874989,-0.5080093906338377
Dante Exum,25,32.322769588967695,3,19.3,1.7,4.3,0.4540671470234804,0.4023870723868594,1.8,0.182,1.3,2.5,0.533,0.423,0.2,0.3,0.7886625238513609,0.3,2.5,1.8072238763268047,2.1142740911864277,0.4033862274984171,0.3,1.1229148906693722,1.5,6.1999756415237135,-1.289661808658888
Kevin Love,32,45.12677603302073,25,24.9,4.1,10.1,0.4297591581080427,2.459429438050334,6.2,0.365,1.8,3.8,0.479,0.522,1.7,2.0,0.8773247736974399,0.7,6.8,10.05459903769358,2.497147190251672,0.5217936822691152,0.1,2.054170218661256,1.0,17.395351173558737,3.4980274133048024
Thon Maker,23,64.74085887817314,0,9.5,1.3,2.3,0.4397754307770054,0.5177796631341657,0.3,0.0,1.3,2.0,0.625,0.556,1.3,1.4,0.6701369249634865,1.0,1.3,2.968680552374616,0.6694866286839624,0.4054652076630701,0.5,0.658499369887115,0.9,4.847760094798012,-0.6983525238414607
Larry Nance,28,62.16370470039799,27,31.2,3.7,7.8,0.5394025032035266,0.5882783564014663,3.3,0.36,2.5,4.5,0.551,0.546,0.9,1.4,0.6842600126569008,1.5,5.2,7.503923195296611,2.3130557473172195,1.249472637576593,0.5,1.1255850184805256,2.1,9.525782253097484,3.6545606655940706
Cedi Osman,25,67.78717133183328,26,25.6,3.7,9.9,0.4449246911061604,1.4941303876631074,5.5,0.306,2.0,4.4,0.458,0.458,1.3,1.6,0.6818538698725946,0.6,2.8,3.589299987306353,2.0582086521547067,0.7035276180410084,0.2,1.2170452783324797,2.0,9.969777975032114,2.271031486100993
