AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,VALUE,POS_C,POS_PF,POS_PG,POS_SF,POS_SG
27,68.281565289832,29.459598678849584,16.23197264272837,2.5432766571853627,5.904677149052998,0.4172721124483929,0.8154887701530605,2.349313570043302,0.3251345392142283,1.7277878870323022,3.555363579009697,0.4727438876535923,0.4785391878090964,1.0387416255896225,1.5293455164534204,0.6702586684646442,0.2166646615148259,2.339452605185929,2.556117266700756,1.4626748394830722,0.7844838603440413,0.26511304754923,1.1663873391203787,1.5281411903913458,6.948449339143238,2.274383478963516,0,0,0,1,0
24,68.11456817406446,7.994247692026898,21.20235831951466,3.218958453596039,7.784439077898755,0.4192761055138025,1.3853611313082717,4.023096464584862,0.3494081655121002,1.8335973222877675,3.7854607088036416,0.4961077735601411,0.5104999704552193,1.3182660642281068,1.5741678842374331,0.843658403748905,0.1658918622597891,1.5611610393984052,1.7370429439086572,1.109397230377901,0.4176556712802932,0.1241180954897479,0.7106004351982766,1.468908664848354,9.217426007238709,3.720828590446896,0,0,0,0,1
31,66.55145015296527,66.55145015296527,35.862774226319374,6.997147190251673,11.911950051783636,0.5885455220342396,0.0,0.1,0.0975492739370031,6.96303905251146,11.811950051783636,0.5932810969471357,0.5892276847890437,5.266502255207603,9.90956122321814,0.5344598335791635,3.51533125805966,9.886646332548764,13.401977590608428,1.841773766770041,1.1165344628800362,2.166502255207603,3.224118095489748,3.215249261639542,19.260796635710943,4.160297400335626,1,0,0,0,0
31,66.0758363260971,36.1321767194888,25.635816452347512,3.927321663513101,8.22921718928013,0.4778084393332185,0.0,0.0,0.0,3.927321663513101,8.213837534185217,0.4796410148773661,0.4778084393332185,2.441262882896317,3.2609109424354203,0.751464366002041,2.6246396693112266,5.314593118238783,7.9238531324551,1.0861811307067055,0.6044955919700638,0.9662494432410308,1.3289228714058023,2.3541137782605555,10.330014347662727,-1.9367054317813035,0,1,0,0,0
25,49.46686163546914,18.643594159024587,19.457930897987023,2.121875678689234,5.453148587756369,0.3838400434991029,0.5853611313082717,1.9707222626165437,0.268278118477577,1.494740780610921,3.506544420629573,0.4322434059471871,0.434156404068084,1.4965543783791102,1.9065444206295727,0.774759497170983,0.5694194803007973,2.8353113425605865,3.3806127273716355,1.307154813577387,0.490009957749537,0.5571050248297018,0.6735574912896194,1.9742498806575517,6.318001238036019,-5.746649149970142,0,1,0,0,0
31,71.75207096217571,52.72812358695932,31.83285218969408,6.14942181472462,12.546980242933364,0.4937740142289199,0.38285514417215,1.2221229238060694,0.2432869320038682,5.724792903782428,11.358965456867509,0.5080254114928663,0.5080649758635996,3.197576009283997,4.250461026704758,0.7473171214436208,2.440652558369784,5.774661118614626,8.21531367698441,2.4040384334934517,1.52471090736231,0.9987967951796244,1.9422845822224843,3.261243035818524,15.837501016135349,5.737406525358441,0,1,0,0,0
25,38.466874194033934,1.9294476391798336,10.756611790452512,1.618266064228107,3.314820442607217,0.480728722667343,0.1164524664599176,0.467013070660046,0.2036960747929185,1.5018135977681892,2.881915509687382,0.5165477145120291,0.5010251440780522,0.6076656290298302,0.675881904510252,0.90113660304487,0.894147968738359,1.6053412158091975,2.4918235555177257,0.5164524664599176,0.2482361909794958,0.5,0.5417737667700412,1.3494393957998714,3.894758361686173,0.5430236689883681,1,0,0,0,0
32,50.7767792120319,4.429769715904168,21.14710921508688,3.775074822420615,8.668110651894517,0.4350442044115913,1.3111932470708385,3.2404531247808683,0.4025831331605024,2.463881575349776,5.385883760343607,0.4533087204360366,0.5107137683454157,1.278015674679595,1.4832630804857814,0.8370230705648747,0.2293655012959341,1.7486323137102344,1.9779978150061683,1.7071490460850278,0.4409666846804042,0.0,1.0428831615874057,1.317558838232015,10.08315443385461,-9.17869265015588,0,0,0,0,1
23,66.32658943659479,4.458297813387445,17.147580219618547,2.9174096820199376,7.004156847920553,0.4065730543567692,0.5934555793704267,1.857451847441908,0.2939042836051923,2.3580622403897213,5.188478767248687,0.4444315980136238,0.4443120974957874,1.3228328942492538,1.7151672652194232,0.7508072072553611,0.2405705619496655,1.6440161835705551,1.894576787770684,3.2833015442797264,0.5770031129105091,0.0582262332299588,1.7440161835705548,1.425239303890005,7.709334070889514,4.237425175321572,0,0,1,0,0
28,68.64735491709028,2.7476069610999505,15.21379290274619,2.806016024101878,5.897903994964471,0.4745245619838844,0.6070552360820166,1.760615061795458,0.2632025769287543,2.1989607880198614,4.137288933169013,0.5270088563540253,0.52372119969328,1.0471149825792387,1.3206724738688582,0.7818809678248598,0.8141280532392849,2.2859539431808336,3.1000819964201183,0.7893995648017234,0.2935375757905453,0.1341081377402109,0.7429769715904168,1.2970651938315536,7.234418542345433,-5.14123336312505,0,1,0,0,0
32,58.12778436653924,58.12778436653924,24.872572278391715,2.031701728099459,4.758062240389721,0.4281310642233439,0.6858719467607151,1.948747006431939,0.3658227149270573,1.3458297813387443,2.809315233957782,0.4671881329768753,0.5048748513368168,0.8517638090205041,1.0582262332299586,0.7937865596928847,0.6987967951796245,2.915859654587355,3.61465644976698,1.405259219389079,1.108786837430087,0.4141280532392849,0.990009957749537,1.7635674490391562,5.601039211980138,2.720234312630778,0,0,0,1,0
