2P,FG%,2PA,GS,TRB,3P%,3PA,ORB,FTA,BLK,TOV,PF,2P%,DRB,3P,FT,FG,FGA,eFG%,FT%,AST,AGE,G,STL,MP,PTS,VALUE
2.254371002132196,0.4355438278548514,4.599147121535181,47.642857142857146,4.258848614072495,0.3561494310020992,3.2878464818763327,0.3524520255863539,1.773134328358209,0.4477611940298507,1.5249466950959487,2.074946695095949,0.4911214553237025,3.906396588486141,1.1794243070362471,1.324946695095949,3.462366737739872,7.858422174840085,0.5092426988293131,0.737111344537815,1.8637526652452023,27,74.42857142857143,1.0816631130063967,23.90127931769723,9.371961620469085,2.1075610196355834
1.6357142857142857,0.4181428571428571,3.321428571428572,9.285714285714286,1.8285714285714287,0.3409285714285714,3.571428571428572,0.1357142857142857,1.45,0.1285714285714286,0.7071428571428571,1.1928571428571428,0.5050714285714285,1.6571428571428573,1.1785714285714286,1.25,2.8142857142857145,6.864285714285714,0.5077142857142858,0.8620714285714286,1.2142857142857142,24,58.57142857142857,0.3785714285714285,19.37142857142857,8.12857142857143,3.6481706623004646
5.557142857142858,0.6102142857142857,9.142857142857142,62.42857142857143,11.457142857142856,0.1632857142857142,0.0714285714285714,3.192857142857143,6.835714285714286,1.5285714285714285,2.5071428571428567,3.1785714285714284,0.6145714285714285,8.264285714285716,0.0,3.471428571428571,5.564285714285715,9.214285714285714,0.6109285714285715,0.5042857142857143,1.3714285714285714,31,62.42857142857143,0.9,31.55714285714286,14.62857142857143,3.77967217624942
2.259299191374663,0.4349904632152589,4.726684636118598,17.928571428571427,4.925202156334232,0.2010776711788671,1.3470350404312668,1.3390835579514826,1.669811320754717,0.4490566037735849,0.7288409703504043,1.8556603773584908,0.4785173529187914,3.590970350404312,0.4123989218328842,1.3159029649595688,2.641374663072777,6.039757412398921,0.4722131179447256,0.7785697914871618,0.7725067385444744,31,57.285714285714285,0.3715633423180593,17.522776280323452,7.04366576819407,-1.9980890615981115
1.342857142857143,0.3637142857142857,3.2428571428571438,11.5,3.25,0.2069285714285714,1.5571428571428572,0.5214285714285714,1.6428571428571428,0.3928571428571428,0.5785714285714285,1.542857142857143,0.417,2.757142857142857,0.3785714285714286,1.207142857142857,1.7285714285714284,4.771428571428571,0.3998571428571428,0.7362857142857143,1.0142857142857142,25,42.21428571428572,0.4642857142857143,16.77857142857143,5.1000000000000005,-5.753584233547394
5.228571428571428,0.4710714285714285,10.228571428571428,78.14285714285714,8.621428571428572,0.3323571428571429,2.9285714285714284,2.2357142857142853,4.9071428571428575,1.4285714285714286,2.378571428571429,2.864285714285714,0.5105000000000001,6.385714285714286,0.9642857142857144,3.721428571428571,6.192857142857143,13.12142857142857,0.5082142857142857,0.7551428571428571,3.2285714285714286,31,78.21428571428571,1.792857142857143,32.75714285714286,17.04285714285714,5.665168640008176
1.3642857142857143,0.5089285714285714,2.3857142857142857,2.2857142857142856,2.3285714285714287,0.3148571428571428,0.6357142857142858,0.8214285714285714,0.6714285714285714,0.5,0.5071428571428571,1.25,0.5595,1.45,0.1857142857142857,0.5428571428571428,1.5500000000000005,2.957142857142857,0.5422857142857143,0.8339285714285715,0.5857142857142856,25,51.42857142857143,0.2571428571428572,10.414285714285716,3.792857142857143,0.4798626231458217
2.6998066748066742,0.4343315494372327,5.799430199430199,1.7857142857142858,2.161223036223036,0.3770491837045604,2.721550671550671,0.2764957264957264,1.764316239316239,0.0,0.8849613349613349,1.4486263736263736,0.4606745083828272,1.8847273097273096,0.9986772486772486,1.506074481074481,3.698483923483923,8.52098087098087,0.4940488330580885,0.8538260140521535,1.4216524216524211,32,44.85714285714285,0.4707061457061456,20.83540903540904,9.921448921448922,-8.995599927560392
3.007142857142857,0.42,6.5,6.714285714285714,2.357142857142857,0.3242857142857143,2.5357142857142856,0.3142857142857143,2.2,0.0928571428571428,2.107142857142857,1.6285714285714283,0.4575714285714286,2.007142857142857,0.8571428571428571,1.7428571428571429,3.8,9.028571428571428,0.4652142857142857,0.7929285714285715,4.135714285714285,23,76.92857142857143,0.7714285714285714,19.61428571428572,10.19285714285714,4.294805251269411
1.75,0.4619285714285714,3.335714285714286,0.4285714285714285,2.821428571428572,0.3724285714285714,2.3285714285714287,0.7071428571428571,0.95,0.1357142857142857,0.6285714285714284,1.35,0.5237857142857143,2.142857142857143,0.8571428571428571,0.7999999999999999,2.607142857142857,5.692857142857143,0.5397142857142858,0.7924285714285715,1.0214285714285716,28,73.35714285714286,0.3357142857142857,15.871428571428572,6.9,-5.086048718726344
1.757142857142857,0.4737142857142857,3.2857142857142856,13.428571428571429,4.378571428571428,0.3322142857142857,1.6999999999999995,0.7928571428571428,1.2285714285714289,0.4571428571428572,0.8428571428571427,1.4428571428571428,0.546,3.5857142857142854,0.5857142857142856,0.8357142857142856,2.3428571428571425,4.985714285714286,0.5296428571428572,0.679,1.407142857142857,32,67.42857142857143,1.0857142857142856,22.27142857142857,6.078571428571428,2.596359196583593
0.8857142857142858,0.3359999999999999,2.0571428571428574,0.8571428571428571,2.071428571428572,0.2419285714285714,0.6357142857142858,0.5142857142857142,0.7285714285714285,0.0999999999999999,0.3642857142857142,0.8142857142857143,0.3984999999999999,1.55,0.1785714285714285,0.5785714285714285,0.9928571428571428,2.692857142857143,0.3774285714285714,0.8072857142857143,0.25,23,32.214285714285715,0.3642857142857142,8.228571428571428,2.75,-3.535186382119913
