PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Kent Bazemore,SF,27,ATL,73.07055236082016,64,26.9,4.0,9.9,0.4319316893200898,0.9788436735261615,3.6,0.346,2.8,6.2,0.446,0.473,1.6,2.3,0.6860894808696715,0.6,2.5,3.569473405995723,1.6377314920971577,0.9369636807902407,0.7,1.3701872916077142,2.3,8.068265695072988,2016-17,2.1075610196355834
Tim Hardaway,SG,24,ATL,64.71597481756444,30,27.3,5.3,11.5,0.4155333016167186,1.3416917703499227,5.3,0.357,3.4,6.3,0.537,0.537,2.1,2.7,0.8459437512106698,0.4,2.4,1.8223044977215588,1.2246289109421913,0.390009957749537,0.2,0.762875059671224,1.3,9.056002653361176,2016-17,3.6481706623004646
Dwight Howard,C,31,ATL,60.76755867793673,74,29.7,5.2,8.3,0.603796555118116,0.0,0.0,0.0,5.2,8.3,0.635,0.633,3.1,5.7,0.516290669102736,4.0,8.7,11.453066591336249,1.42825610647857,0.8494393957998715,1.2,2.6876035481087857,2.7,15.525703285072835,2016-17,3.7796721762494196
Kris Humphries,PF,31,ATL,60.61079042978286,4,12.3,1.6,3.8,0.4537543036092136,0.2679826547512076,1.0,0.352,1.2,2.9,0.425,0.451,1.1,1.5,0.7799027700980352,1.1,2.6,5.359814683088644,0.8366296405562654,0.39706347664224984,0.4,0.757694402323656,1.2,7.456466747670814,2016-17,-1.9980890615981113
Ryan Kelly,PF,25,ATL,47.00446400107577,0,6.9,0.5,1.8,0.3711091674875964,0.5416917703499226,0.6,0.4,0.3,1.1,0.222,0.357,0.3,0.4,0.7664924866147822,0.1,1.1,3.2677054600279782,1.2504786077800096,0.49233437097016963,0.3,0.6405705619496656,0.3,5.866866658895061,2016-17,-5.753584233547394
Paul Millsap,PF,31,ATL,76.58308229650078,67,34.0,6.2,14.1,0.46987585967033535,0.9923343709701699,3.5,0.311,5.1,10.6,0.486,0.481,4.5,5.9,0.7507292951726655,1.6,6.1,8.47011186966873,3.183547533540082,1.775881904510252,0.9,2.3900099577495366,2.7,17.15651221295714,2016-17,5.665168640008176
Mike Muscala,C,25,ATL,43.53113425605865,3,17.7,2.4,4.8,0.49896549725279443,0.15176380902050415,1.6,0.418,1.8,3.2,0.546,0.573,0.7,0.9,0.8734340128331625,1.1,2.3,2.485789950340596,0.5517638090205041,0.2682162754804218,0.6,0.5241180954897479,1.4,3.966320681292114,2016-17,0.4798626231458217
Gary Neal,SG,32,ATL,47.66931074239927,0,9.0,0.0,3.5,0.42023304283734475,1.04519410271315,1.0,0.0,0.0,2.5,0.0,0.0,2.0,2.0,0.8595114903748499,0.0,0.5,2.117319105252667,1.5245709159271585,0.43804491264961326,0.0,1.0011579641827288,0.5,10.055320618712983,2016-17,-8.995599927560392
Dennis Schröder,PG,23,ATL,71.50014626597182,78,31.5,6.9,15.4,0.4138816119783084,0.7047308228613839,3.7,0.34,5.7,11.6,0.487,0.493,2.8,3.2,0.7750607578634707,0.5,2.6,2.0918059744424746,3.6947231995356686,0.6529670138408797,0.2,1.898268398651929,1.9,8.898297651846292,2016-17,4.294805251269411
Mike Scott,PF,28,ATL,73.81833513267263,0,10.8,0.9,3.3,0.4624670374462216,0.8682162754804218,1.5,0.148,0.7,1.8,0.406,0.322,0.4,0.4,0.789941303876631,0.6,1.5,2.985279134888153,1.009990042250463,0.3582262332299588,0.2,0.6964723819589916,0.7,7.565745450494803,2016-17,-5.086048718726344
